Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Malik Beasley,SG,26,UTA,37,5,27.2,5.1,12.5,.410,3.2,8.6,.374,1.9,3.9,.490,.539,0.7,0.9,.818,0.5,3.1,3.7,1.5,0.9,0.1,1.0,1.4,14.2,15558035
Malik Monk,SG,24,SAC,33,0,23.4,5.1,11.3,.453,1.9,5.7,.335,3.2,5.6,.573,.538,2.5,2.7,.911,0.4,1.9,2.3,3.8,0.7,0.2,2.0,1.6,14.6,9472219
Mamadi Diakite,PF,26,CLE,11,2,7.5,0.9,1.9,.476,0.4,1.1,.333,0.5,0.8,.667,.571,0.0,0.0,,0.3,0.7,1.0,0.2,0.2,0.5,0.5,1.0,2.2,
MarJon Beauchamp,SF,22,MIL,23,8,14.6,2.2,5.3,.413,1.1,3.1,.366,1.0,2.2,.480,.521,0.6,0.8,.737,0.9,1.7,2.5,0.5,0.5,0.1,1.0,1.6,6.1,2485200
Marcus Morris,PF,33,LAC,33,33,29.9,5.0,11.2,.446,2.1,5.5,.381,2.9,5.7,.508,.539,1.4,1.7,.804,0.5,4.5,5.1,1.7,0.7,0.4,1.0,2.2,13.4,16372093
Marcus Smart,PG,28,BOS,31,31,33.1,4.0,9.4,.431,1.8,5.3,.348,2.2,4.1,.540,.529,1.4,1.8,.782,0.6,2.6,3.3,7.3,1.4,0.4,2.2,2.8,11.3,17207142
Mark Williams,C,21,CHO,5,0,9.4,2.0,3.2,.625,0.0,0.0,,2.0,3.2,.625,.625,1.2,1.4,.857,1.0,2.2,3.2,0.4,0.6,0.4,0.6,1.8,5.2,3722040
Markelle Fultz,SG,24,ORL,15,15,27.0,4.7,10.3,.455,0.5,1.3,.400,4.1,8.9,.463,.481,1.4,2.1,.677,1.1,2.8,3.9,5.3,1.5,0.3,2.3,2.4,11.3,16500000
Markieff Morris,PF,33,BRK,19,1,11.4,1.4,3.2,.443,1.0,2.1,.487,0.4,1.2,.364,.598,0.3,0.3,1.000,0.5,1.8,2.3,1.0,0.3,0.2,0.6,1.2,4.2,1836090
Marko Simonovic,C,23,CHI,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563518
